algorithm,objective,K,psnr_mean,psnr_std,ssim_mean,ssim_std,uniformity_mean,uniformity_std,time_mean,time_std,n_runs
LADE,tsallis,9,26.788566516713946,3.163100978702621,0.8821105962330252,0.027618896254544008,0.9941493439486563,0.0064745041077914275,0.5270680538813273,0.006058488529527063,300
LADE,tsallis,11,28.03526457187959,3.321761647132149,0.8988784005085865,0.0285230827934638,0.995343315699638,0.0058741508499459555,0.5905480750106896,0.017145017660447275,300
LADE,tsallis,12,28.966737801592632,3.5635117404870593,0.9065485916295722,0.028318574203040018,0.9960614274281575,0.0052262127625609086,0.6311983579591227,0.06451528218307323,300
LSHADE,kapur,3,19.48299706220049,1.63510560074852,0.7333134750855349,0.04526965116728566,0.9757466204207128,0.009868241735946066,0.6727987847174518,0.042440635349400076,300
LSHADE,kapur,5,22.592544649213064,2.5063483965428524,0.8102248386603755,0.03400706695406018,0.987060492913522,0.007681692795899295,0.8001760959664049,0.0177215699866059,300
LSHADE,kapur,7,25.944195314586388,3.6697251151042507,0.853802635294039,0.032390878655578215,0.9925405654452787,0.007559113019412469,0.929853285398179,0.018754019226245918,300
LSHADE,kapur,9,29.26261255521626,3.8414520883838374,0.8814355826719242,0.02537279631381758,0.995753195304391,0.006570629775308212,1.0584096079141212,0.040198884234535846,300
LSHADE,kapur,11,31.029200677037963,4.21269224354454,0.9039206588333251,0.028246435288795634,0.996583184591319,0.006336167749312351,1.1861875172580283,0.009871602949515283,300
LSHADE,kapur,12,32.65018306670595,3.3345365899077968,0.9179098293097241,0.02474870684894873,0.9978892908348146,0.004816353042311731,1.2537515845762877,0.04801716583632909,300
LSHADE,otsu,3,24.53485282583042,1.179848784039072,0.7466723151136403,0.03453446010849541,0.9927138431702652,0.001838592749952658,0.627529545292103,0.009770245839938779,300
LSHADE,otsu,5,28.323936198700817,1.1239546556721645,0.8452725437681657,0.02805038522814199,0.9969681210755496,0.0007042577242325199,0.7315473736147396,0.024965445429801857,300
LSHADE,otsu,7,30.92213096329377,1.1339636444170735,0.8922670458155469,0.017585212460342076,0.9983337047938894,0.0003963854430311982,0.851795569715711,0.14423973160199222,300
LSHADE,otsu,9,32.99815619323538,1.193330915713751,0.9213736609206346,0.01507201571749504,0.9989639639811596,0.00025121705032412234,0.9388452777708881,0.042492688274854515,300
LSHADE,otsu,11,34.64276957451672,1.2195876933494547,0.9396033228122197,0.012771017539711575,0.9992903920450705,0.00017257293553271473,1.029841113355166,0.011096635027299427,300
LSHADE,otsu,12,35.37128382830492,1.2306067463120673,0.9465607143288266,0.011104465057386204,0.999400476457775,0.00014697636328514862,1.0835416699651008,0.03598143220405057,300
LSHADE,tsallis,3,19.966485838517656,1.5136511397886208,0.7378387780229827,0.0383728469930008,0.978486172615506,0.008523727530046587,0.6751240422258464,0.015525346377551373,300
LSHADE,tsallis,5,22.2702985738391,1.9063900708158068,0.8148851493954077,0.030923834892419875,0.9867906466966412,0.007115640937096533,0.7785977758001537,0.01797737080449303,300
