algorithm,objective,K,psnr_mean,psnr_std,ssim_mean,ssim_std,uniformity_mean,uniformity_std,time_mean,time_std,n_runs
LSHADE,kapur,9,34.592349137753125,0.9155339843733428,0.9595373018265394,0.012418045783386063,0.9992908994682886,0.00014728276320853098,1.0512480721338135,0.019633806084760064,450
LSHADE,kapur,11,36.319539332084446,0.786831164035938,0.9696582342472163,0.009877038626112186,0.9995266041796693,8.384779776064155e-05,1.1834261267042407,0.03247138076885521,450
LSHADE,kapur,12,36.994690769779815,0.784112244189573,0.9728125192112648,0.009506383465290317,0.9995949398379868,7.351336651579348e-05,1.241802999470383,0.008304990716228224,450
LSHADE,otsu,3,27.878245486759955,0.8904443662510988,0.8606596331586054,0.05376013987419315,0.9966758346871306,0.0006648701775530112,0.6234521153895184,0.012412536518627634,450
LSHADE,otsu,5,31.40495699564534,0.8976741280849012,0.9315906412156338,0.03294576501177739,0.998525790621178,0.00029091637087356407,0.7233237838719248,0.006307528205494849,450
LSHADE,otsu,7,33.901636249858186,0.950187007745505,0.9582271049264905,0.012274055134007717,0.9991686120602157,0.00016982885198228332,0.8243360635855546,0.007824947293503056,450
LSHADE,otsu,9,35.87711314340916,0.9425418791464043,0.9698522428958276,0.009792029826087265,0.9994728356349961,0.0001071272612982369,0.924596730564307,0.008473515391586485,450
LSHADE,otsu,11,37.464123010204645,0.939306461309817,0.9772282972721132,0.007400302568033291,0.9996345868989469,7.335017898322056e-05,1.0253833795618266,0.015421783384262385,450
LSHADE,otsu,12,38.1784417291431,0.9547972369111559,0.9800826630743271,0.006766578935846998,0.9996898767457003,6.329956460596356e-05,1.0737393771277535,0.010650923189210532,450
LSHADE,tsallis,3,19.217804543516507,1.6512724795186369,0.2675063099718708,0.035350682918098154,0.9741393900876194,0.010972440759718578,0.6692004274100893,0.007948295064773115,450
LSHADE,tsallis,5,21.608627482611034,1.116105496418691,0.3374260104398654,0.043903757187802255,0.9857305644034436,0.003683457595570107,0.7751092977894263,0.014431283671184084,450
LSHADE,tsallis,7,23.229267160902438,1.222277174015207,0.39060714966299676,0.058437541450491626,0.9901128250887972,0.002782622224096804,0.8788490037914987,0.005856442469253381,450
LSHADE,tsallis,9,24.896104820915816,1.6552107545795196,0.4554378410674699,0.07687285307337938,0.9931001925587007,0.002335215005816852,0.9833133424228678,0.004368887238160806,450
LSHADE,tsallis,11,29.134692345418706,3.6731788304422883,0.652637577810324,0.1817702932836819,0.9967921125072199,0.0019246967344467463,1.0883541864555122,0.009888283399882587,450
LSHADE,tsallis,12,32.3000591268116,3.963806904407267,0.7811698811662963,0.17162343716677442,0.9982747141814157,0.0013745007953828575,1.1397602189792735,0.008873285186468093,450
SHADE,kapur,3,23.941890975399932,3.273831851253056,0.6583486228223694,0.29011109344362174,0.9884923288032228,0.012538814719728954,0.6817227881536302,0.046660275567309985,450
SHADE,kapur,5,29.512941616328593,1.0797653219709338,0.9162905167634606,0.02576325334780155,0.9976894733992739,0.0006279897627512774,0.8088009212828344,0.026170779128667245,450
SHADE,kapur,7,32.56487148658522,0.8903030945139997,0.9449467900048144,0.015516074829356375,0.998870128388418,0.00022253755565946565,0.9394614583041726,0.0373739305119586,450
SHADE,kapur,9,34.594891378097664,0.9146086737750532,0.9595523825484993,0.012404490421656901,0.9992913411967085,0.00014711437798912066,1.0760670733389754,0.050571876699348095,450
SHADE,kapur,11,36.31433944983253,0.7925358573061477,0.96962453336362,0.00997536500391665,0.9995258836383093,8.471453926488375e-05,1.2472332018629337,0.25372759705495523,450
SHADE,kapur,12,36.99402365206233,0.7759263711887402,0.9728361228631068,0.009405714539604695,0.9995950291649531,7.253188176860334e-05,1.3054018152675901,0.17650689508636308,450
SHADE,otsu,3,27.878245486759955,0.8904443662510988,0.8606596331586054,0.05376013987419315,0.9966758346871306,0.0006648701775530112,0.6522307999892574,0.08690020500850348,450
SHADE,otsu,5,31.404961638460094,0.8976738933878978,0.9315932612921046,0.03294700580747794,0.9985257904011423,0.0002909163597215081,0.7653860840004766,0.14970639699298932,450
SHADE,otsu,7,33.90178494651205,0.9501645641841896,0.9582332624181951,0.012265635842146842,0.9991686434323341,0.00016982623533143065,0.8644952712373601,0.12497324248596722,450
SHADE,otsu,9,35.87714484791857,0.9424793847522611,0.9698512024122093,0.009792169380913443,0.9994728372517415,0.00010712428636292412,0.9555852546439403,0.07116002911325572,450
SHADE,otsu,11,37.46392821961092,0.9394905309278324,0.9772165915201658,0.007410768776185906,0.9996345675470707,7.335769746953651e-05,1.0581721825990826,0.10314049915243975,450
SHADE,otsu,12,38.17768196574457,0.955123788836851,0.9800558088326013,0.006801124988522776,0.9996898298242596,6.331407862836956e-05,1.094608012673238,0.03368041178402867,450
SHADE,tsallis,3,19.217804543516507,1.6512724795186369,0.2675063099718708,0.035350682918098154,0.9741393900876194,0.010972440759718578,0.6856834739731211,0.032093360248066145,450
